username,timestamp,likes,comment_text,cleaned_tokens,tok_len,char_len,word_len
arvindS2004,2024-04-07T05:58:23Z,0,For<br>5 secs l also was amazed 😂,"['sec', 'also', 'amazed']",3,33,7
nyrick999,2023-03-25T22:12:50Z,0,"My jq did not work. I get &#39;jq&#39; is not recognized as a in internal or external command, operable program or batch file.","['work', 'get', 'recognized', 'internal', 'external', 'command', 'operable', 'program', 'batch', 'file']",10,126,23
gctsquaternion6510,2023-03-25T17:15:49Z,0,Non-Binary and &quot;I dont want you to feel offended&quot; what a moron,"['non', 'binary', 'quot', 'dont', 'want', 'feel', 'offended', 'quot', 'moron']",9,72,12
2mtech94,2023-03-25T15:41:50Z,0,"<a href=""https://www.youtube.com/watch?v=WXsD0ZgxjRw&amp;t=480"">8:00</a>","['href', 'http', 'www', 'youtube', 'com', 'watch', 'wxsd', 'zgxjrw', 'amp']",9,72,2
d96002,2023-03-25T02:13:46Z,0,extreme cringe,"['extreme', 'cringe']",2,14,2
joekletz2705,2023-03-23T16:40:54Z,0,"URL is Uniform Resource Locator, not Universal. I only know that because they also got it wrong on University Challenge","['url', 'uniform', 'resource', 'locator', 'universal', 'know', 'also', 'got', 'wrong', 'university', 'challenge']",11,119,20
matekimagick,2023-03-22T19:19:41Z,3,"Sorry if this has already been addressed, but I am stuck at <a href=""https://www.youtube.com/watch?v=WXsD0ZgxjRw&amp;t=117"">1:57</a> because I am on windows and neither the Linux or the windows options worked to load the environment credentials.  Anyone else have this problem and maybe a hint what to do?  Great video btw, thank you!","['sorry', 'already', 'addressed', 'stuck', 'href', 'http', 'www', 'youtube', 'com', 'watch', 'wxsd', 'zgxjrw', 'amp', 'window', 'neither', 'linux', 'window', 'option', 'worked', 'load', 'environment', 'credential', 'anyone', 'else', 'problem', 'maybe', 'hint', 'great', 'video', 'btw', 'thank']",31,334,50
XSXSupermanXSX,2023-03-22T14:24:56Z,0,Thank you so much. I learned a lot about APIs from this course.,"['thank', 'much', 'learned', 'lot', 'apis', 'course']",6,63,13
DiningPhilanderer,2023-03-21T21:59:45Z,2,"1 - This such a great great class, I&#39;m following everything and learning gobs since I&#39;ve been out of the programming world for 10 years.","['great', 'great', 'class', 'following', 'everything', 'learning', 'gob', 'since', 'programming', 'world', 'year']",11,144,25
dannykryan,2023-03-23T20:42:44Z,0,"Same issue here, can&#39;t seem to send an image. Even tried a 1kb jpeg but no joy","['issue', 'seem', 'send', 'image', 'even', 'tried', 'jpeg', 'joy']",8,82,17
DiningPhilanderer,2023-03-24T02:07:22Z,1,"@dannykryan To be clear, I was able to send the much smaller cloud picture.<br>I set up the entire request and sent with an unchecked the MediaUrl (which worked), checked the MediaURL (which failed), then unchecked the MediaUrl and  resent again (which worked).  This proved that the issue was the MediaUrl and it alone.<br>Then I chose a much smaller picture, that worked...<br>I think case matters so MediaURL is not good, you have to use MediaUrl.","['dannykryan', 'clear', 'able', 'send', 'much', 'smaller', 'cloud', 'picture', 'set', 'entire', 'request', 'sent', 'unchecked', 'mediaurl', 'worked', 'checked', 'mediaurl', 'failed', 'unchecked', 'mediaurl', 'resent', 'worked', 'proved', 'issue', 'mediaurl', 'alone', 'chose', 'much', 'smaller', 'picture', 'worked', 'think', 'case', 'matter', 'mediaurl', 'good', 'use', 'mediaurl']",38,450,74
mathway3344,2023-03-20T13:32:13Z,0,"spotify apis are only available for the US, UK, Ireland, New Zealand and Australia markets ??","['spotify', 'apis', 'available', 'ireland', 'new', 'zealand', 'australia', 'market']",8,93,16
paul-olof,2023-03-20T09:08:51Z,0,I got completely lost at Unit 2 Video 4 @ postman/rest fox....I guess I&#39;ll give your first video tutorial I see others mentioning a try,"['got', 'completely', 'lost', 'unit', 'video', 'postman', 'rest', 'fox', 'guess', 'give', 'first', 'video', 'tutorial', 'see', 'others', 'mentioning', 'try']",17,139,25
syedibraheemzeeshan806,2023-03-18T11:58:21Z,1,"Perfect video for API, thanks, Dennis!","['perfect', 'video', 'api', 'thanks', 'dennis']",5,38,6
namhuy5426,2023-03-18T05:21:28Z,0,Great Course 😜,"['great', 'course']",2,14,3
ndanatswa7,2023-03-18T01:00:28Z,0,5 minutes in and am already a fan. You are a new subscriber :),"['minute', 'already', 'fan', 'new', 'subscriber']",5,62,14
braziltokyoschool,2023-03-17T22:13:12Z,2,"<a href=""https://www.youtube.com/watch?v=WXsD0ZgxjRw&amp;t=2"">0:02</a> Steve Jobs is that you? 😅","['href', 'http', 'www', 'youtube', 'com', 'watch', 'wxsd', 'zgxjrw', 'amp', 'steve', 'job']",11,96,8
